# Iteration    J_value
 (8.900000000000000000e+01+0.000000000000000000e+00j)  (2.476412211510850836e-01+6.979703621036201868e-17j)
 (9.000000000000000000e+01+0.000000000000000000e+00j)  (2.313321278870870135e-01-2.892446280997007474e-17j)
 (9.100000000000000000e+01+0.000000000000000000e+00j)  (2.157907811192591729e-01-1.126882320350863460e-17j)
 (9.200000000000000000e+01+0.000000000000000000e+00j)  (2.010799053258512381e-01+6.009413270334126291e-17j)
 (9.300000000000000000e+01+0.000000000000000000e+00j)  (1.870156175501841711e-01-4.170032174940432803e-18j)
 (9.400000000000000000e+01+0.000000000000000000e+00j)  (1.738591768658916681e-01-2.581333933921543608e-17j)
 (9.500000000000000000e+01+0.000000000000000000e+00j)  (1.612555408271238166e-01+2.157241669888387640e-17j)
 (9.600000000000000000e+01+0.000000000000000000e+00j)  (1.494671127482211370e-01-5.229569443001031467e-18j)
 (9.700000000000000000e+01+0.000000000000000000e+00j)  (1.382296493509491964e-01-3.182604842831201428e-18j)
 (9.800000000000000000e+01+0.000000000000000000e+00j)  (1.277975920342840632e-01+2.746007497630503953e-17j)
 (9.900000000000000000e+01+0.000000000000000000e+00j)  (1.177915772737946204e-01+2.881954776807317853e-17j)
 (1.000000000000000000e+02+0.000000000000000000e+00j)  (1.084701065148902382e-01-2.899042384129926809e-18j)
 (1.010000000000000000e+02+0.000000000000000000e+00j)  (9.976559230308035264e-02+2.447310998142885933e-18j)
 (1.020000000000000000e+02+0.000000000000000000e+00j)  (9.168394658231981964e-02-6.450534617469145457e-18j)
 (1.030000000000000000e+02+0.000000000000000000e+00j)  (8.403747534969215061e-02+2.593694257136670950e-18j)
 (1.040000000000000000e+02+0.000000000000000000e+00j)  (7.700997904168228880e-02-2.167444645142284105e-18j)
 (1.050000000000000000e+02+0.000000000000000000e+00j)  (7.039470517304363684e-02+7.001932910517708467e-19j)
 (1.060000000000000000e+02+0.000000000000000000e+00j)  (6.430700314194955081e-02-7.355342311202176591e-18j)
 (1.070000000000000000e+02+0.000000000000000000e+00j)  (5.871337926445840960e-02-3.038688356937920192e-18j)
 (1.080000000000000000e+02+0.000000000000000000e+00j)  (5.354503306560590842e-02+2.091639960422279916e-17j)
 (1.090000000000000000e+02+0.000000000000000000e+00j)  (4.879246967826867537e-02-3.806041886426525200e-18j)
 (1.100000000000000000e+02+0.000000000000000000e+00j)  (4.447133072342511484e-02-6.133390690031067789e-18j)
 (1.110000000000000000e+02+0.000000000000000000e+00j)  (4.049981898938446317e-02-3.633859830576215364e-18j)
 (1.120000000000000000e+02+0.000000000000000000e+00j)  (3.689330491517626986e-02-9.636114197626580290e-18j)
 (1.130000000000000000e+02+0.000000000000000000e+00j)  (3.363283449221778770e-02-2.014486145384257525e-17j)
 (1.140000000000000000e+02+0.000000000000000000e+00j)  (3.071335519247660878e-02-1.022443970158538019e-18j)
 (1.150000000000000000e+02+0.000000000000000000e+00j)  (2.806459800589589798e-02+4.963456724822652082e-17j)
 (1.160000000000000000e+02+0.000000000000000000e+00j)  (2.574400805419590349e-02-4.316449657742267144e-17j)
 (1.170000000000000000e+02+0.000000000000000000e+00j)  (2.361375911021697249e-02-7.988262061944982104e-17j)
 (1.180000000000000000e+02+0.000000000000000000e+00j)  (2.177447514454995681e-02-7.836966887684390557e-17j)
 (1.190000000000000000e+02+0.000000000000000000e+00j)  (2.016258106736139658e-02-1.180813558800875997e-17j)
 (1.200000000000000000e+02+0.000000000000000000e+00j)  (1.873191475575393394e-02-1.784555584858173294e-17j)
 (1.210000000000000000e+02+0.000000000000000000e+00j)  (1.748545014204754694e-02-2.367926836897283600e-17j)
 (1.220000000000000000e+02+0.000000000000000000e+00j)  (1.641148935778962564e-02-2.014433114022776067e-17j)
 (1.230000000000000000e+02+0.000000000000000000e+00j)  (1.548808128762197735e-02+6.049196264869074230e-17j)
 (1.240000000000000000e+02+0.000000000000000000e+00j)  (1.468266800441184183e-02+2.431974925061961898e-17j)
 (1.250000000000000000e+02+0.000000000000000000e+00j)  (1.401643992372568828e-02+1.503349717272445950e-17j)
 (1.260000000000000000e+02+0.000000000000000000e+00j)  (1.344763339844026045e-02+1.155869978878127388e-17j)
 (1.270000000000000000e+02+0.000000000000000000e+00j)  (1.294534593697964017e-02-9.558872614268195609e-17j)
 (1.280000000000000000e+02+0.000000000000000000e+00j)  (1.254138545179936740e-02-2.538022349252375571e-17j)
 (1.290000000000000000e+02+0.000000000000000000e+00j)  (1.220051540827105617e-02+4.785894783916832523e-17j)
 (1.300000000000000000e+02+0.000000000000000000e+00j)  (1.192186552699030927e-02+2.875018648998827754e-17j)
 (1.310000000000000000e+02+0.000000000000000000e+00j)  (1.168463779475378481e-02+1.571276599950225316e-17j)
 (1.320000000000000000e+02+0.000000000000000000e+00j)  (1.149128045052110608e-02-6.796353121831050011e-17j)
 (1.330000000000000000e+02+0.000000000000000000e+00j)  (1.134013993113650032e-02-2.271387088629332493e-17j)
 (1.340000000000000000e+02+0.000000000000000000e+00j)  (1.120748810852057950e-02-5.224956199895700237e-17j)
 (1.350000000000000000e+02+0.000000000000000000e+00j)  (1.110722699464789485e-02-3.876064593154562344e-17j)
 (1.360000000000000000e+02+0.000000000000000000e+00j)  (1.102573026716215272e-02+6.901355621254304705e-17j)
 (1.370000000000000000e+02+0.000000000000000000e+00j)  (1.096863471984937423e-02+4.860894936978649284e-17j)
 (1.380000000000000000e+02+0.000000000000000000e+00j)  (1.092333970808914700e-02-3.956683684469365031e-17j)
 (1.390000000000000000e+02+0.000000000000000000e+00j)  (1.089150635289717894e-02+6.872855281366407404e-17j)
 (1.400000000000000000e+02+0.000000000000000000e+00j)  (1.087299632771706812e-02+7.105534911072231690e-17j)
 (1.410000000000000000e+02+0.000000000000000000e+00j)  (1.086234599097278021e-02-1.795041688103541731e-17j)
 (1.420000000000000000e+02+0.000000000000000000e+00j)  (1.086333804222525297e-02-5.916686781611239617e-17j)
 (1.430000000000000000e+02+0.000000000000000000e+00j)  (1.087179187680498670e-02+3.061427582445620783e-17j)
 (1.440000000000000000e+02+0.000000000000000000e+00j)  (1.088650438333750754e-02-3.017553013443603782e-17j)
 (1.450000000000000000e+02+0.000000000000000000e+00j)  (1.090832150895221925e-02+1.666988100955649155e-17j)
 (1.460000000000000000e+02+0.000000000000000000e+00j)  (1.093515725059856017e-02+1.009216288054497528e-17j)
 (1.470000000000000000e+02+0.000000000000000000e+00j)  (1.096826295462824744e-02+6.042983535460262362e-17j)
 (1.480000000000000000e+02+0.000000000000000000e+00j)  (1.100636064206526876e-02-4.328234078516138345e-17j)
 (1.490000000000000000e+02+0.000000000000000000e+00j)  (1.104882435267851883e-02+3.296532638289516856e-17j)
 (1.500000000000000000e+02+0.000000000000000000e+00j)  (1.109494992955448178e-02+3.924848465571306401e-17j)
 (1.510000000000000000e+02+0.000000000000000000e+00j)  (1.114673328248713506e-02-3.763790725522690200e-17j)
 (1.520000000000000000e+02+0.000000000000000000e+00j)  (1.119897633772643300e-02-3.638213270356882015e-17j)
 (1.530000000000000000e+02+0.000000000000000000e+00j)  (1.125714295989227454e-02+7.316827545775775688e-17j)
 (1.540000000000000000e+02+0.000000000000000000e+00j)  (1.132214506845750056e-02+4.986839216224958263e-17j)
 (1.550000000000000000e+02+0.000000000000000000e+00j)  (1.138200266818935498e-02-8.000083021533510665e-17j)
 (1.560000000000000000e+02+0.000000000000000000e+00j)  (1.145623105786086789e-02+9.778878269591921881e-17j)
 (1.570000000000000000e+02+0.000000000000000000e+00j)  (1.152570990400531188e-02-1.827340367406031368e-17j)
 (1.580000000000000000e+02+0.000000000000000000e+00j)  (1.160319568990461625e-02-7.379257418189511624e-18j)
 (1.590000000000000000e+02+0.000000000000000000e+00j)  (1.167747375489998525e-02+2.477143798023259759e-17j)
 (1.600000000000000000e+02+0.000000000000000000e+00j)  (1.175762815031112900e-02+7.421236248257137115e-17j)
 (1.610000000000000000e+02+0.000000000000000000e+00j)  (1.183980947616656773e-02-6.842335225111377882e-17j)
 (1.620000000000000000e+02+0.000000000000000000e+00j)  (1.192650857706730946e-02-3.058302415348825838e-17j)
 (1.630000000000000000e+02+0.000000000000000000e+00j)  (1.202337223350082029e-02-3.991412613989828768e-19j)
 (1.640000000000000000e+02+0.000000000000000000e+00j)  (1.210739878334178045e-02-1.582327380343821520e-16j)
 (1.650000000000000000e+02+0.000000000000000000e+00j)  (1.219494906904817176e-02-4.010518836190602822e-18j)
 (1.660000000000000000e+02+0.000000000000000000e+00j)  (1.228602770798715646e-02+6.972174277801753022e-17j)
 (1.670000000000000000e+02+0.000000000000000000e+00j)  (1.238269220055503335e-02+1.011351458908499846e-16j)
 (1.680000000000000000e+02+0.000000000000000000e+00j)  (1.249322263689100349e-02+8.023207167263412106e-18j)
 (1.690000000000000000e+02+0.000000000000000000e+00j)  (1.258449664036448250e-02-5.658840555578872052e-18j)
 (1.700000000000000000e+02+0.000000000000000000e+00j)  (1.269829686930112715e-02-1.055035616174759884e-16j)
 (1.710000000000000000e+02+0.000000000000000000e+00j)  (1.278825145593700738e-02-7.514200710445749528e-17j)
 (1.720000000000000000e+02+0.000000000000000000e+00j)  (1.289926113469083355e-02-1.397522800375478800e-17j)
 (1.730000000000000000e+02+0.000000000000000000e+00j)  (1.300715249377552840e-02-1.852734493276823812e-17j)
 (1.740000000000000000e+02+0.000000000000000000e+00j)  (1.310795302335106098e-02-3.266125160865945625e-17j)
 (1.750000000000000000e+02+0.000000000000000000e+00j)  (1.322521624092069456e-02+3.399773534837473035e-17j)
 (1.760000000000000000e+02+0.000000000000000000e+00j)  (1.333284918817079917e-02-6.394313332119509367e-17j)
 (1.770000000000000000e+02+0.000000000000000000e+00j)  (1.344027539529009038e-02+6.758347284061056193e-17j)
 (1.780000000000000000e+02+0.000000000000000000e+00j)  (1.355328643116035514e-02-4.973348363488771367e-17j)
 (1.790000000000000000e+02+0.000000000000000000e+00j)  (1.366574030615954130e-02+2.209067774265609080e-16j)
 (1.800000000000000000e+02+0.000000000000000000e+00j)  (1.377864229452578464e-02+9.448571927523032290e-17j)
 (1.810000000000000000e+02+0.000000000000000000e+00j)  (1.390244872938614651e-02-8.625401240965920348e-18j)
