# Iteration    J_value
 (1.460000000000000000e+02+0.000000000000000000e+00j)  (4.988425126212761825e+04+4.460806648615548771e-14j)
 (1.470000000000000000e+02+0.000000000000000000e+00j)  (4.950247956167790107e+04+4.255285382902945310e-14j)
 (1.480000000000000000e+02+0.000000000000000000e+00j)  (4.912550432363736036e+04+1.380659985349778014e-12j)
 (1.490000000000000000e+02+0.000000000000000000e+00j)  (4.875011886281074112e+04+8.294772204933998930e-14j)
 (1.500000000000000000e+02+0.000000000000000000e+00j)  (4.837961801279668725e+04+2.306988114428451811e-12j)
 (1.510000000000000000e+02+0.000000000000000000e+00j)  (4.801097603144729510e+04-3.090420822341986110e-12j)
 (1.520000000000000000e+02+0.000000000000000000e+00j)  (4.764687368352371413e+04+8.840310330931500639e-13j)
 (1.530000000000000000e+02+0.000000000000000000e+00j)  (4.728555470439542842e+04+3.798834171932347250e-13j)
 (1.540000000000000000e+02+0.000000000000000000e+00j)  (4.692826490920856304e+04+2.640142208050234969e-12j)
 (1.550000000000000000e+02+0.000000000000000000e+00j)  (4.657260639568782062e+04+3.994999517300579806e-13j)
 (1.560000000000000000e+02+0.000000000000000000e+00j)  (4.622123486500742729e+04-1.246043721003078769e-12j)
 (1.570000000000000000e+02+0.000000000000000000e+00j)  (4.587296085600986407e+04+1.798189410098773945e-12j)
 (1.580000000000000000e+02+0.000000000000000000e+00j)  (4.552767834618866618e+04+8.248480765247315255e-13j)
 (1.590000000000000000e+02+0.000000000000000000e+00j)  (4.518552027239673771e+04+7.634211732284047691e-13j)
 (1.600000000000000000e+02+0.000000000000000000e+00j)  (4.484689895310300199e+04+8.547443700584497305e-13j)
 (1.610000000000000000e+02+0.000000000000000000e+00j)  (4.451025273816821573e+04-1.960985513835190216e-12j)
 (1.620000000000000000e+02+0.000000000000000000e+00j)  (4.417811207398759143e+04-1.050394952340687641e-12j)
 (1.630000000000000000e+02+0.000000000000000000e+00j)  (4.384871250291926117e+04-6.493471537331163396e-14j)
 (1.640000000000000000e+02+0.000000000000000000e+00j)  (4.352208264147568116e+04-2.295136317746933999e-12j)
 (1.650000000000000000e+02+0.000000000000000000e+00j)  (4.319854933094061562e+04+6.881543422985837157e-13j)
 (1.660000000000000000e+02+0.000000000000000000e+00j)  (4.287828154635938699e+04-1.899896862790027596e-13j)
 (1.670000000000000000e+02+0.000000000000000000e+00j)  (4.255952361308979016e+04+2.614217402153222479e-13j)
 (1.680000000000000000e+02+0.000000000000000000e+00j)  (4.224415337804571755e+04+2.419020812430994225e-13j)
 (1.690000000000000000e+02+0.000000000000000000e+00j)  (4.193250629214833316e+04+1.471979480677998808e-12j)
 (1.700000000000000000e+02+0.000000000000000000e+00j)  (4.162348588916938752e+04+1.290757079341885548e-12j)
 (1.710000000000000000e+02+0.000000000000000000e+00j)  (4.131677218020600412e+04+4.633984321996803135e-13j)
 (1.720000000000000000e+02+0.000000000000000000e+00j)  (4.101365395731099852e+04+2.539043061933791442e-12j)
 (1.730000000000000000e+02+0.000000000000000000e+00j)  (4.071235010974058969e+04+7.002055049997085606e-13j)
 (1.740000000000000000e+02+0.000000000000000000e+00j)  (4.041471833310594957e+04+3.956553418003035301e-13j)
 (1.750000000000000000e+02+0.000000000000000000e+00j)  (4.011891328812165739e+04-1.888138820043111494e-12j)
 (1.760000000000000000e+02+0.000000000000000000e+00j)  (3.982546260592516046e+04+9.181654713692752088e-13j)
 (1.770000000000000000e+02+0.000000000000000000e+00j)  (3.953626134346298932e+04-3.756866677105341089e-12j)
 (1.780000000000000000e+02+0.000000000000000000e+00j)  (3.924874853752996569e+04+5.639101653837398921e-13j)
 (1.790000000000000000e+02+0.000000000000000000e+00j)  (3.896367883365927264e+04-2.391019200594773947e-12j)
 (1.800000000000000000e+02+0.000000000000000000e+00j)  (3.868268624919790454e+04+2.904206507070713825e-12j)
 (1.810000000000000000e+02+0.000000000000000000e+00j)  (3.840280262243338802e+04+3.739778347375174467e-12j)
 (1.820000000000000000e+02+0.000000000000000000e+00j)  (3.812514405109830113e+04-1.244543710337376263e-12j)
 (1.830000000000000000e+02+0.000000000000000000e+00j)  (3.785035742640367971e+04+9.587692639105603837e-13j)
 (1.840000000000000000e+02+0.000000000000000000e+00j)  (3.757878956983060925e+04-3.403781761423466913e-13j)
 (1.850000000000000000e+02+0.000000000000000000e+00j)  (3.730846646885229711e+04+1.112742819089524495e-12j)
 (1.860000000000000000e+02+0.000000000000000000e+00j)  (3.704224760949083429e+04-3.384421225751000259e-13j)
 (1.870000000000000000e+02+0.000000000000000000e+00j)  (3.677708526956877176e+04+2.002237568277462744e-12j)
 (1.880000000000000000e+02+0.000000000000000000e+00j)  (3.651474403187035932e+04-9.807036844294676349e-14j)
 (1.890000000000000000e+02+0.000000000000000000e+00j)  (3.625450408843970945e+04-2.284172419205508262e-12j)
 (1.900000000000000000e+02+0.000000000000000000e+00j)  (3.599638340303744189e+04+7.608534988590761376e-13j)
 (1.910000000000000000e+02+0.000000000000000000e+00j)  (3.574150820924247819e+04-1.964119453084766936e-12j)
 (1.920000000000000000e+02+0.000000000000000000e+00j)  (3.548779543062063749e+04-1.284972894503385016e-12j)
 (1.930000000000000000e+02+0.000000000000000000e+00j)  (3.523749711649785604e+04-1.105433800830414249e-12j)
 (1.940000000000000000e+02+0.000000000000000000e+00j)  (3.498801279040976078e+04+8.654312008806004707e-13j)
 (1.950000000000000000e+02+0.000000000000000000e+00j)  (3.474246011389952764e+04-1.427008212016923466e-12j)
 (1.960000000000000000e+02+0.000000000000000000e+00j)  (3.449788311082744622e+04+3.123164890428842770e-12j)
 (1.970000000000000000e+02+0.000000000000000000e+00j)  (3.425595751596846094e+04+3.658922513617795112e-13j)
 (1.980000000000000000e+02+0.000000000000000000e+00j)  (3.401596105268194515e+04+1.788600690071019329e-13j)
 (1.990000000000000000e+02+0.000000000000000000e+00j)  (3.377720064256744809e+04-1.621684651932898010e-12j)
 (2.000000000000000000e+02+0.000000000000000000e+00j)  (3.354200086008790095e+04-7.984713311674840796e-13j)
 (2.010000000000000000e+02+0.000000000000000000e+00j)  (3.330781902481817815e+04-4.938204989589179693e-13j)
 (2.020000000000000000e+02+0.000000000000000000e+00j)  (3.307621133357552026e+04+7.059989155822787273e-13j)
 (2.030000000000000000e+02+0.000000000000000000e+00j)  (3.284682704915145587e+04+1.450172292170008270e-12j)
 (2.040000000000000000e+02+0.000000000000000000e+00j)  (3.261887366795459457e+04-2.746705637871493278e-13j)
 (2.050000000000000000e+02+0.000000000000000000e+00j)  (3.239330386493593687e+04+2.004680517004861350e-12j)
 (2.060000000000000000e+02+0.000000000000000000e+00j)  (3.216895759090805586e+04-7.840600163557426847e-13j)
 (2.070000000000000000e+02+0.000000000000000000e+00j)  (3.194708364329843607e+04-7.780199112980040820e-13j)
 (2.080000000000000000e+02+0.000000000000000000e+00j)  (3.172687841691568610e+04-9.693979726168620919e-13j)
 (2.090000000000000000e+02+0.000000000000000000e+00j)  (3.150830318945059844e+04+8.328283828352581923e-13j)
 (2.100000000000000000e+02+0.000000000000000000e+00j)  (3.129228024409340651e+04+6.653722976870564292e-13j)
 (2.110000000000000000e+02+0.000000000000000000e+00j)  (3.107784959491648988e+04-1.443560293832675832e-13j)
 (2.120000000000000000e+02+0.000000000000000000e+00j)  (3.086486377598656691e+04+6.679757791962500201e-13j)
 (2.130000000000000000e+02+0.000000000000000000e+00j)  (3.065369942775034360e+04+1.160482071156398963e-12j)
 (2.140000000000000000e+02+0.000000000000000000e+00j)  (3.044410457561439398e+04-5.040788316188808919e-13j)
 (2.150000000000000000e+02+0.000000000000000000e+00j)  (3.023662272391694569e+04-1.045442981443378652e-12j)
 (2.160000000000000000e+02+0.000000000000000000e+00j)  (3.003059734361667142e+04+6.515466583405180261e-13j)
 (2.170000000000000000e+02+0.000000000000000000e+00j)  (2.982698211437093778e+04+1.215711161235794325e-12j)
 (2.180000000000000000e+02+0.000000000000000000e+00j)  (2.962373750537550586e+04+1.909740097351366423e-12j)
 (2.190000000000000000e+02+0.000000000000000000e+00j)  (2.942310611862961741e+04+1.752111580519276954e-13j)
 (2.200000000000000000e+02+0.000000000000000000e+00j)  (2.922392222569600563e+04+3.916315975630594573e-13j)
 (2.210000000000000000e+02+0.000000000000000000e+00j)  (2.902577734654898450e+04-4.542337927402474825e-13j)
 (2.220000000000000000e+02+0.000000000000000000e+00j)  (2.882933106663633953e+04+4.390815840651204810e-13j)
 (2.230000000000000000e+02+0.000000000000000000e+00j)  (2.863567787957662586e+04-8.901844887654856053e-14j)
 (2.240000000000000000e+02+0.000000000000000000e+00j)  (2.844278550567743878e+04+1.891830223122927217e-13j)
 (2.250000000000000000e+02+0.000000000000000000e+00j)  (2.825059573941734561e+04-6.690433403331627176e-13j)
 (2.260000000000000000e+02+0.000000000000000000e+00j)  (2.806055360475720590e+04-9.865811196107339211e-14j)
 (2.270000000000000000e+02+0.000000000000000000e+00j)  (2.787246064157735600e+04-1.759725760365257464e-12j)
 (2.280000000000000000e+02+0.000000000000000000e+00j)  (2.768496744444731667e+04+5.033078994790406026e-13j)
 (2.290000000000000000e+02+0.000000000000000000e+00j)  (2.749954988867067368e+04+5.381147809806868246e-13j)
 (2.300000000000000000e+02+0.000000000000000000e+00j)  (2.731508390123887511e+04-7.158968871006214377e-13j)
 (2.310000000000000000e+02+0.000000000000000000e+00j)  (2.713243958068877691e+04+1.838766537529549765e-12j)
 (2.320000000000000000e+02+0.000000000000000000e+00j)  (2.695101205542419120e+04+1.418327939491624225e-12j)
 (2.330000000000000000e+02+0.000000000000000000e+00j)  (2.677063298585929442e+04-5.953102349294273212e-14j)
 (2.340000000000000000e+02+0.000000000000000000e+00j)  (2.659210904530926564e+04+3.140430236899178407e-13j)
 (2.350000000000000000e+02+0.000000000000000000e+00j)  (2.641480884312296621e+04-1.814151244303598713e-12j)
 (2.360000000000000000e+02+0.000000000000000000e+00j)  (2.623845894410477194e+04-7.664849073649338330e-13j)
 (2.370000000000000000e+02+0.000000000000000000e+00j)  (2.606405129686078362e+04+6.003994813892551794e-13j)
 (2.380000000000000000e+02+0.000000000000000000e+00j)  (2.589014478326446988e+04-1.245199473831230433e-12j)
 (2.390000000000000000e+02+0.000000000000000000e+00j)  (2.571808637562045260e+04+1.658800374828703713e-12j)
 (2.400000000000000000e+02+0.000000000000000000e+00j)  (2.554691282211155340e+04-1.729714629658223698e-13j)
 (2.410000000000000000e+02+0.000000000000000000e+00j)  (2.537682822129114720e+04-9.153545631126798567e-13j)
 (2.420000000000000000e+02+0.000000000000000000e+00j)  (2.520861445781141447e+04+2.785365318019401104e-13j)
 (2.430000000000000000e+02+0.000000000000000000e+00j)  (2.504136367145640543e+04+8.523842500936252724e-13j)
 (2.440000000000000000e+02+0.000000000000000000e+00j)  (2.487483754358388978e+04-6.959399186491551670e-13j)
 (2.450000000000000000e+02+0.000000000000000000e+00j)  (2.471012538268157732e+04+3.103701497157532008e-13j)
 (2.460000000000000000e+02+0.000000000000000000e+00j)  (2.454627764119435597e+04-4.730023876421776065e-14j)
 (2.470000000000000000e+02+0.000000000000000000e+00j)  (2.438353880988078527e+04-1.772454237944191428e-14j)
 (2.480000000000000000e+02+0.000000000000000000e+00j)  (2.422225644558921340e+04+1.114261651549076323e-12j)
 (2.490000000000000000e+02+0.000000000000000000e+00j)  (2.406165300074152037e+04+8.443413012661396335e-13j)
 (2.500000000000000000e+02+0.000000000000000000e+00j)  (2.390193249499471494e+04-1.090108617249991260e-12j)
 (2.510000000000000000e+02+0.000000000000000000e+00j)  (2.374380695664451559e+04+1.918128968443503771e-12j)
 (2.520000000000000000e+02+0.000000000000000000e+00j)  (2.358668262759785648e+04+3.683628763632402503e-13j)
